IP,Hostname,Anti-clickjacking,X-XSS-Protection,No CGI Directories found,valid response with junk HTTP,Allowed HTTP Methods,which may suggest a WAF,shellshock,OSVDB-637,OSVDB-578
209.59.176.87,somalihouse.com,1,1,0,0,0,0,0,0,0
209.159.151.238,realsoulmates.com,1,1,0,0,0,0,0,0,0
209.99.64.51,www.lauriescogginsphotography.com,1,1,1,0,0,0,0,1,1
192.185.141.56,variochocolate.com,1,1,1,0,1,0,0,0,0
52.4.209.250,beijing.fm,0,1,1,1,0,0,0,0,0
51.91.19.20,www.southvalleypeacecenter.org,1,1,0,0,0,0,0,0,0
34.98.99.30,www.mountainstatecanecorso.com,1,1,1,0,0,0,0,0,0
34.98.99.30,www.mountainstatecanecorso.com,1,1,1,0,0,0,0,0,0
81.88.48.95,capital-it.eu,1,1,0,0,0,0,0,0,0
64.39.224.251,mitausa.com,1,1,1,0,0,0,0,0,0
64.39.224.251,mitausa.com,1,1,1,0,0,0,0,0,0
64.39.224.251,mitausa.com,1,1,1,0,0,0,0,0,0
176.31.176.75,shaurmaspb.ru,1,1,1,0,0,0,0,0,0
96.30.49.188,lassolinks.com,1,1,0,0,0,0,0,0,0
204.11.56.48,www.paypal-account-security-service.mytelevisionprograms.com,1,1,1,0,0,0,0,0,0
64.39.224.251,mitausa.com,1,1,1,0,0,0,0,0,0
93.155.109.64,serterkimya.com,1,1,1,0,1,0,0,0,0
54.65.172.3,bootnbonnet.org,1,1,1,1,0,0,0,0,0
192.185.149.172,seventyxsevenclothing.com,1,1,1,0,0,0,0,0,0
119.207.79.151,leesangku.com,1,1,1,0,0,0,0,0,0
103.229.73.118,pesanreporter.com,1,1,0,0,0,1,0,0,0
103.229.73.118,pesanreporter.com,1,1,0,0,0,1,0,0,0
103.229.73.118,pesanreporter.com,1,1,0,0,0,1,0,0,0
187.17.111.118,terezaortega.com.br,1,1,0,0,0,1,0,0,0
64.39.224.251,mitausa.com,1,1,1,0,0,0,0,0,0
195.70.47.200,www.obeauty.hu,1,1,1,0,0,0,0,0,0
64.39.224.251,www.mitausa.com,1,1,1,0,0,0,0,0,0
192.185.48.166,goosebyunopsinvestment.com,1,1,1,0,0,0,0,0,0
82.149.22.77,sige.si,1,1,1,1,0,0,0,0,0
20.190.142.75,login.windows-ppe.net,1,1,1,0,0,0,0,0,0
204.11.56.48,online.stetsonoil.com,1,1,1,0,0,0,0,0,0
27.121.67.15,www.southoftheborder.com.au,1,1,1,0,0,0,0,0,0
27.121.67.15,www.southoftheborder.com.au,1,1,1,0,0,0,0,0,0
103.1.237.73,caxiemdalekhanh.com,1,1,1,0,0,0,0,0,0
119.207.79.151,leesangku.com,1,1,1,0,0,0,0,0,0
5.101.152.100,taksi-econom.ru,1,1,1,0,1,0,0,0,0
173.239.5.6,azur-residence.com,1,1,1,0,0,0,0,0,0
173.239.5.6,azur-residence.com,1,1,1,0,0,0,0,0,0
64.39.224.251,mitausa.com,1,1,1,0,0,0,0,0,0
173.239.5.6,azur-residence.com,1,1,1,0,0,0,0,0,0
173.239.5.6,azur-residence.com,1,1,1,0,0,0,0,0,0
103.241.146.74,vps.nichetech.co,1,1,1,0,0,0,0,0,0
103.241.146.74,vps.nichetech.co,1,1,1,0,0,0,0,0,0
103.241.146.74,103.241.146.74,1,1,1,0,0,0,0,0,0
103.241.146.74,103.241.146.74,1,1,1,0,0,0,0,0,0
103.241.146.74,103.241.146.74,1,1,1,0,0,0,0,0,0
202.124.241.178,ii-a.net.au,1,1,1,1,0,0,0,0,0
217.160.0.200,7426fbe0d8676fde2cac756c0731ce57.udagwebspace.de,1,1,1,0,0,0,0,0,0
131.153.37.2,excelcarela.org,1,1,1,0,1,0,0,0,0
217.160.0.200,7426fbe0d8676fde2cac756c0731ce57.udagwebspace.de,1,1,1,0,0,0,0,0,0
213.247.47.190,shellychaunceyphotography.com,1,1,1,0,0,0,0,0,0
108.167.172.151,jennielodien.com,1,1,1,0,1,1,0,0,0
202.170.69.9,containerhouse.mn,1,1,1,1,1,0,0,0,0
64.39.224.251,mitausa.com,1,1,1,0,0,0,0,0,0
34.232.217.75,admin475053.typeform.com,1,1,1,0,0,0,0,0,0
5.39.68.209,www.forsalesecondhand.com,1,1,1,0,0,0,0,0,0
